,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 1,Adrian Riven,1827,Defeat,2,160,9096,14,13
Match 2,Adrian Riven,1769,Victory,86,148,12111,16,14
Match 3,Adrian Riven,1281,Victory,2,107,5931,11,8
Match 4,Adrian Riven,1113,Defeat,887,91,4667,10,5
Match 5,Adrian Riven,1832,Defeat,64,173,9484,14,16
Match 6,Adrian Riven,2128,Victory,2,189,12039,17,40
Match 7,Adrian Riven,1919,Defeat,92,176,13579,16,18
Match 8,Adrian Riven,2189,Defeat,64,166,13142,17,9
Match 9,Adrian Riven,1241,Victory,92,144,11315,13,12
Match 10,Adrian Riven,2030,Victory,92,231,15998,18,29
Match 11,Adrian Riven,1298,Defeat,92,167,7506,13,11
Match 12,Adrian Riven,1673,Defeat,92,169,9964,14,11
Match 13,Adrian Riven,1742,Defeat,64,139,10931,14,12
Match 14,Adrian Riven,1325,Defeat,114,116,5654,11,6
Match 15,Adrian Riven,1643,Defeat,114,202,9508,14,14
Match 16,Adrian Riven,2168,Defeat,92,264,15276,17,17
Match 17,Adrian Riven,1456,Defeat,92,145,7253,12,21
Match 18,Adrian Riven,1771,Victory,92,201,15657,17,19
Match 19,Adrian Riven,1487,Defeat,92,164,10085,14,15
Match 20,Adrian Riven,1589,Victory,92,117,8978,14,21
Match 21,Adrian Riven,1244,Victory,114,159,8687,13,8
Match 22,Adrian Riven,1222,Defeat,114,132,6102,11,6
Match 23,Adrian Riven,1241,Victory,92,108,9754,13,15
Match 24,Adrian Riven,1482,Defeat,92,114,7925,13,9
Match 25,Adrian Riven,1668,Defeat,92,161,11399,14,27
Match 26,Adrian Riven,1138,Defeat,887,128,6121,11,7
Match 27,Adrian Riven,2308,Defeat,92,253,15234,17,33
Match 28,Adrian Riven,2324,Victory,887,236,18933,18,33
Match 29,Adrian Riven,1847,Victory,92,229,15827,17,24
Match 30,Adrian Riven,1515,Defeat,68,115,7319,13,19
Match 31,Adrian Riven,1317,Defeat,887,155,7167,13,14
Match 32,Adrian Riven,1953,Defeat,887,194,13964,16,14
Match 33,Adrian Riven,1639,Defeat,92,127,8159,13,9
Match 34,Adrian Riven,1969,Defeat,92,165,11987,16,21
Match 35,Adrian Riven,1411,Defeat,92,112,6666,11,5
Match 36,Adrian Riven,1302,Victory,92,172,11919,15,18
Match 37,Adrian Riven,922,Victory,126,136,7446,12,11
Match 38,Adrian Riven,985,Defeat,106,88,5104,11,11
Match 39,Adrian Riven,1625,Defeat,164,146,10132,14,18
Match 40,Adrian Riven,1740,Defeat,58,144,9834,14,20
Match 41,Adrian Riven,1347,Victory,150,164,11472,15,5
Match 42,Adrian Riven,1898,Victory,92,191,13640,16,25
Match 43,Adrian Riven,1877,Defeat,114,161,11682,15,32
Match 44,Adrian Riven,1703,Victory,92,191,16102,17,21
Match 45,Adrian Riven,1412,Defeat,92,167,9058,13,8
Match 46,Adrian Riven,1222,Defeat,92,125,5748,11,18
Match 47,Adrian Riven,1522,Defeat,92,164,8512,14,18
Match 48,Adrian Riven,1965,Victory,92,208,14356,17,14
Match 49,Adrian Riven,1989,Defeat,106,157,10669,15,21
Match 50,Adrian Riven,1813,Victory,92,207,13276,17,29
Match 51,Adrian Riven,1268,Defeat,777,150,7279,12,8
Match 52,Adrian Riven,947,Defeat,777,86,5006,10,4
Match 53,Adrian Riven,2042,Victory,92,217,17046,18,31
Match 54,Adrian Riven,956,Victory,92,135,7423,11,7
Match 55,Adrian Riven,2281,Victory,92,284,17179,18,35
Match 56,Adrian Riven,1987,Victory,92,254,17773,18,11
Match 57,Adrian Riven,980,Victory,106,99,8719,11,15
Match 58,Adrian Riven,618,Victory,106,46,3369,6,0
Match 59,Adrian Riven,2119,Defeat,79,151,9985,15,17
Match 60,Adrian Riven,1073,Victory,84,136,9139,13,8
Match 61,Adrian Riven,1592,Victory,39,225,17284,16,9
Match 62,Adrian Riven,1763,Victory,39,228,19148,18,14
Match 63,Adrian Riven,1389,Defeat,114,218,10216,14,12
Match 64,Adrian Riven,1541,Victory,92,171,13377,16,13
Match 65,Adrian Riven,1659,Defeat,92,171,12823,14,17
Match 66,Adrian Riven,2129,Victory,92,244,24778,18,20
Match 67,Adrian Riven,1620,Victory,92,189,14335,16,10
Match 68,Adrian Riven,1348,Victory,92,153,13254,14,16
Match 69,Adrian Riven,1189,Victory,92,167,9723,13,10
Match 70,Adrian Riven,1592,Victory,164,166,10590,15,22
Match 71,Adrian Riven,939,Defeat,92,78,4277,9,5
Match 72,Adrian Riven,2283,Defeat,126,257,13452,17,33
Match 73,Adrian Riven,1986,Defeat,58,238,12386,16,24
Match 74,Adrian Riven,1342,Victory,92,171,8579,14,14
Match 75,Adrian Riven,1228,Defeat,150,91,6115,11,14
Match 76,Adrian Riven,2222,Victory,114,251,13344,17,22
Match 77,Adrian Riven,1399,Victory,127,145,9135,14,17
Match 78,Adrian Riven,1525,Victory,126,162,11981,15,17
Match 79,Adrian Riven,1751,Defeat,58,193,14465,16,21
Match 80,Adrian Riven,1471,Victory,92,178,10982,15,16
Match 81,Adrian Riven,1393,Defeat,92,142,8239,13,15
Match 82,Adrian Riven,2193,Defeat,92,204,13012,17,30
Match 83,Adrian Riven,1696,Defeat,54,140,7483,13,20
Match 84,Adrian Riven,1935,Victory,92,229,16075,17,21
Match 85,Adrian Riven,1797,Victory,92,202,14518,16,23
Match 86,Adrian Riven,1277,Defeat,58,92,5560,10,6
Match 87,Adrian Riven,1761,Victory,164,117,12081,16,18
Match 88,Adrian Riven,2667,Defeat,58,280,18720,18,25
Match 89,Adrian Riven,1340,Victory,58,167,12116,14,18
Match 90,Adrian Riven,1719,Defeat,92,163,11994,15,16
Match 91,Adrian Riven,1396,Defeat,92,160,8621,12,21
Match 92,Adrian Riven,1756,Defeat,114,150,8309,13,21
Match 93,Adrian Riven,1681,Victory,2,156,10050,14,24
Match 94,Adrian Riven,913,Victory,92,114,7578,12,8
Match 95,Adrian Riven,1768,Victory,92,178,12771,17,18
Match 96,Adrian Riven,1792,Victory,92,153,11735,15,15
Match 97,Adrian Riven,2047,Victory,92,217,16886,18,28
Match 98,Adrian Riven,1781,Defeat,92,206,9737,15,22
Match 1,Adrian Riven,1227,Victory,92,135,8887,12,13
Match 2,Adrian Riven,2091,Victory,164,166,12200,16,35
