,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 1,Controleed Freak,1605,Defeat,81,173,9753,12,16
Match 2,Controleed Freak,936,Defeat,92,77,3861,8,5
Match 3,Controleed Freak,2065,Victory,92,181,13134,18,23
Match 4,Controleed Freak,1186,Victory,92,114,8076,12,11
Match 5,Controleed Freak,1616,Defeat,777,191,9532,15,17
Match 6,Controleed Freak,1767,Victory,92,191,15118,17,14
Match 7,Controleed Freak,2015,Defeat,122,184,12372,16,21
Match 8,Controleed Freak,1986,Victory,92,204,17294,18,21
Match 9,Controleed Freak,1830,Defeat,107,46,12635,15,25
Match 10,Controleed Freak,2320,Defeat,119,239,15643,17,21
Match 11,Controleed Freak,2677,Victory,81,256,19373,18,25
Match 12,Controleed Freak,1293,Defeat,39,146,9194,13,14
Match 13,Controleed Freak,1716,Victory,126,220,11649,16,11
Match 14,Controleed Freak,1809,Defeat,234,39,13871,15,28
Match 15,Controleed Freak,2850,Defeat,41,294,22081,18,81
Match 16,Controleed Freak,2329,Victory,92,93,21458,18,24
Match 17,Controleed Freak,214,Victory,92,0,1198,3,2
Match 18,Controleed Freak,1817,Victory,234,42,14888,17,29
Match 19,Controleed Freak,1555,Defeat,92,175,8184,14,17
Match 20,Controleed Freak,1286,Victory,777,125,9859,13,14
Match 21,Controleed Freak,1316,Defeat,92,116,5792,12,9
Match 22,Controleed Freak,2009,Victory,92,185,14475,17,19
Match 23,Controleed Freak,1830,Defeat,238,174,10897,14,21
Match 24,Controleed Freak,1141,Defeat,92,127,5332,11,9
Match 25,Controleed Freak,2034,Defeat,39,253,13878,18,30
Match 26,Controleed Freak,1365,Defeat,39,164,8341,13,16
Match 27,Controleed Freak,1270,Victory,92,136,9705,13,9
Match 28,Controleed Freak,1806,Defeat,122,194,8188,14,19
Match 29,Controleed Freak,2164,Defeat,12,51,9649,15,47
Match 30,Controleed Freak,1718,Defeat,238,156,8378,14,17
Match 31,Controleed Freak,1154,Defeat,777,91,5803,11,14
Match 32,Controleed Freak,1465,Victory,92,150,8994,14,23
Match 33,Controleed Freak,1286,Victory,92,142,8804,14,12
Match 34,Controleed Freak,1706,Defeat,266,163,9632,14,21
Match 35,Controleed Freak,1690,Defeat,122,131,9085,14,15
Match 36,Controleed Freak,1647,Defeat,92,124,9064,13,16
Match 37,Controleed Freak,1571,Defeat,238,166,10338,13,21
Match 38,Controleed Freak,2000,Defeat,777,247,15406,17,15
Match 39,Controleed Freak,1214,Defeat,777,107,5688,11,9
Match 40,Controleed Freak,1569,Defeat,161,49,7049,12,47
Match 41,Controleed Freak,1422,Victory,777,194,13338,15,15
Match 42,Controleed Freak,1917,Defeat,81,174,14095,15,17
Match 43,Controleed Freak,1550,Victory,126,132,12027,14,14
Match 44,Controleed Freak,1002,Victory,81,118,6415,9,6
Match 45,Controleed Freak,1213,Defeat,107,97,6396,11,15
Match 46,Controleed Freak,1549,Defeat,51,145,9911,13,18
Match 47,Controleed Freak,2146,Defeat,106,198,16430,17,21
Match 48,Controleed Freak,2152,Defeat,777,221,17083,18,35
Match 49,Controleed Freak,2094,Defeat,122,234,11858,17,32
Match 50,Controleed Freak,2020,Defeat,92,118,10721,15,32
Match 51,Controleed Freak,2654,Defeat,777,287,19396,18,25
Match 52,Controleed Freak,1905,Defeat,145,211,10317,14,17
Match 53,Controleed Freak,1847,Victory,107,33,14771,16,36
Match 54,Controleed Freak,2167,Victory,106,204,17076,18,18
Match 55,Controleed Freak,1500,Defeat,92,157,7582,13,7
Match 56,Controleed Freak,1259,Defeat,92,82,5246,11,16
Match 57,Controleed Freak,1888,Victory,236,185,12858,15,22
Match 1,Controleed Freak,1434,Defeat,126,139,7721,12,13
Match 2,Controleed Freak,1689,Defeat,107,21,8559,13,17
Match 3,Controleed Freak,1472,Victory,238,129,10339,14,22
Match 4,Controleed Freak,2319,Victory,92,218,14899,18,23
Match 5,Controleed Freak,2120,Victory,92,263,20186,18,29
Match 6,Controleed Freak,2996,Victory,39,320,21611,18,28
Match 7,Controleed Freak,618,Victory,157,66,4892,8,3
Match 8,Controleed Freak,1385,Victory,107,14,13446,15,22
Match 9,Controleed Freak,2482,Defeat,234,247,17622,18,33
Match 10,Controleed Freak,1942,Victory,126,194,17239,18,35
Match 11,Controleed Freak,1617,Defeat,234,161,9918,13,25
Match 12,Controleed Freak,2223,Victory,234,50,15567,18,30
Match 13,Controleed Freak,2109,Victory,234,42,16661,18,36
Match 14,Controleed Freak,2486,Victory,266,232,16419,18,34
Match 15,Controleed Freak,1498,Victory,2,28,11030,13,15
Match 16,Controleed Freak,3066,Victory,234,100,21640,18,43
Match 17,Controleed Freak,1911,Defeat,145,212,13302,14,15
Match 18,Controleed Freak,2418,Defeat,122,252,18805,18,29
Match 19,Controleed Freak,1696,Defeat,77,45,11681,14,28
Match 20,Controleed Freak,2167,Victory,51,179,14937,17,21
Match 21,Controleed Freak,1760,Defeat,126,153,9986,14,34
Match 22,Controleed Freak,2315,Victory,41,282,15713,18,24
Match 23,Controleed Freak,1758,Victory,126,148,11722,15,33
Match 24,Controleed Freak,2098,Defeat,126,227,17320,18,21
Match 25,Controleed Freak,1496,Defeat,126,131,10031,14,19
Match 26,Controleed Freak,1841,Victory,126,210,13883,16,17
Match 27,Controleed Freak,1367,Victory,126,164,11826,15,14
Match 28,Controleed Freak,1468,Victory,126,180,11516,15,24
Match 29,Controleed Freak,2044,Defeat,126,213,19229,18,18
Match 30,Controleed Freak,2377,Victory,126,209,15840,18,27
Match 31,Controleed Freak,1861,Defeat,126,169,12661,16,26
Match 32,Controleed Freak,1600,Victory,92,165,9580,14,18
Match 33,Controleed Freak,1857,Defeat,122,188,10933,16,20
Match 34,Controleed Freak,2196,Defeat,92,200,11635,16,26
Match 35,Controleed Freak,2203,Defeat,92,245,14042,18,23
Match 36,Controleed Freak,1379,Victory,92,193,13354,15,17
Match 37,Controleed Freak,1690,Victory,122,150,10599,15,20
Match 38,Controleed Freak,2369,Victory,236,217,16033,16,34
Match 39,Controleed Freak,1701,Defeat,39,185,13122,15,13
Match 40,Controleed Freak,1805,Victory,2,50,12575,15,27
Match 41,Controleed Freak,2153,Defeat,67,237,12848,14,20
Match 42,Controleed Freak,1625,Defeat,81,204,9085,12,13
Match 43,Controleed Freak,1268,Victory,67,156,9071,12,15
Match 44,Controleed Freak,2077,Victory,145,233,18878,17,36
Match 45,Controleed Freak,1807,Defeat,92,197,10949,16,24
Match 46,Controleed Freak,1781,Defeat,107,32,11895,14,26
Match 47,Controleed Freak,1213,Defeat,107,11,5930,10,9
Match 48,Controleed Freak,1674,Defeat,39,181,9288,14,24
Match 49,Controleed Freak,1202,Victory,92,124,10824,13,10
Match 50,Controleed Freak,2135,Defeat,145,202,14122,16,18
Match 51,Controleed Freak,2293,Victory,238,266,21147,18,30
Match 52,Controleed Freak,2251,Defeat,122,201,13521,17,36
Match 1,Controleed Freak,2002,Defeat,39,218,15599,17,24
Match 2,Controleed Freak,2277,Victory,266,183,13004,17,29
Match 3,Controleed Freak,1435,Victory,122,168,10534,14,11
Match 4,Controleed Freak,1548,Victory,92,143,10034,14,15
Match 5,Controleed Freak,2163,Defeat,39,212,11837,16,31
Match 6,Controleed Freak,1554,Defeat,107,10,8534,12,24
Match 7,Controleed Freak,1538,Victory,122,155,11858,15,15
Match 8,Controleed Freak,1821,Victory,92,188,12620,17,20
Match 9,Controleed Freak,1290,Defeat,92,111,6312,11,12
Match 10,Controleed Freak,1625,Defeat,107,22,8058,12,25
Match 11,Controleed Freak,1648,Defeat,266,127,9550,13,24
Match 12,Controleed Freak,1667,Victory,92,189,14333,16,19
Match 13,Controleed Freak,1829,Victory,107,44,13932,17,29
Match 14,Controleed Freak,2130,Victory,266,181,18719,18,18
Match 15,Controleed Freak,1810,Victory,92,213,14614,16,24
Match 16,Controleed Freak,1469,Victory,10,201,10184,15,17
Match 17,Controleed Freak,614,Victory,92,72,4110,9,4
Match 18,Controleed Freak,1220,Victory,107,14,9272,12,23
Match 19,Controleed Freak,1433,Victory,107,32,11200,14,16
Match 20,Controleed Freak,1301,Victory,122,170,11076,14,17
Match 21,Controleed Freak,2546,Defeat,157,294,18064,18,27
Match 22,Controleed Freak,1541,Victory,107,25,12694,15,31
Match 23,Controleed Freak,1677,Victory,107,40,12072,16,38
Match 24,Controleed Freak,2143,Victory,107,56,14905,17,32
Match 25,Controleed Freak,1775,Victory,107,54,12357,15,26
Match 26,Controleed Freak,930,Defeat,145,99,5023,8,8
Match 27,Controleed Freak,2294,Victory,157,236,16798,18,26
Match 28,Controleed Freak,1433,Victory,107,143,13615,14,13
Match 29,Controleed Freak,1224,Defeat,145,143,8014,11,7
Match 30,Controleed Freak,1800,Defeat,107,39,12434,15,33
Match 31,Controleed Freak,2127,Victory,38,195,18089,18,25
Match 32,Controleed Freak,1258,Victory,145,171,13293,14,9
Match 33,Controleed Freak,1626,Victory,107,22,12755,14,24
Match 34,Controleed Freak,1218,Defeat,157,139,6768,11,11
Match 1,Controleed Freak,2322,Victory,121,51,14018,16,27
Match 2,Controleed Freak,1371,Defeat,107,30,8242,13,26
Match 3,Controleed Freak,1472,Defeat,107,24,8129,12,25
Match 4,Controleed Freak,2093,Victory,39,247,16294,18,20
Match 5,Controleed Freak,1913,Defeat,145,202,16477,16,14
Match 6,Controleed Freak,2091,Victory,107,34,16027,18,24
Match 7,Controleed Freak,2426,Victory,107,33,19757,18,34
Match 8,Controleed Freak,2005,Defeat,164,235,12659,17,22
Match 9,Controleed Freak,2045,Victory,876,35,15536,18,42
Match 10,Controleed Freak,613,Victory,234,2,3523,7,4
Match 11,Controleed Freak,1622,Victory,121,20,13633,17,16
Match 12,Controleed Freak,1957,Victory,107,24,16723,16,35
Match 13,Controleed Freak,2110,Victory,145,293,18822,18,26
Match 14,Controleed Freak,2141,Victory,122,191,15729,18,42
Match 15,Controleed Freak,1598,Victory,92,155,10395,15,24
