,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 1,Ender Dragon 3,1605,Defeat,157,169,9547,14,13
Match 2,Ender Dragon 3,936,Defeat,157,107,4682,9,4
Match 3,Ender Dragon 3,1186,Victory,104,19,7149,12,10
Match 4,Ender Dragon 3,1616,Defeat,157,164,9920,14,14
Match 5,Ender Dragon 3,1767,Victory,157,213,15218,17,10
Match 6,Ender Dragon 3,2015,Defeat,157,253,14692,17,19
Match 7,Ender Dragon 3,1809,Defeat,266,164,8629,14,10
Match 8,Ender Dragon 3,1929,Defeat,126,191,12313,16,21
Match 9,Ender Dragon 3,1286,Victory,157,163,11980,14,6
Match 10,Ender Dragon 3,1316,Defeat,157,153,6274,12,10
Match 11,Ender Dragon 3,1806,Defeat,157,253,13360,16,16
Match 12,Ender Dragon 3,1154,Defeat,157,94,4610,10,4
Match 13,Ender Dragon 3,1465,Victory,157,191,12778,14,10
Match 14,Ender Dragon 3,945,Defeat,126,93,4948,9,6
Match 15,Ender Dragon 3,1706,Defeat,103,155,9440,15,14
Match 16,Ender Dragon 3,1690,Defeat,157,201,9153,14,14
Match 17,Ender Dragon 3,2393,Victory,64,47,13423,18,23
Match 18,Ender Dragon 3,1899,Defeat,126,177,11364,15,11
Match 19,Ender Dragon 3,1604,Victory,266,118,9789,14,12
Match 20,Ender Dragon 3,1798,Defeat,157,165,9951,14,12
Match 21,Ender Dragon 3,2000,Defeat,157,212,10603,15,18
Match 22,Ender Dragon 3,1486,Victory,266,138,10003,14,13
Match 23,Ender Dragon 3,1948,Victory,157,213,15820,16,20
Match 24,Ender Dragon 3,2122,Defeat,266,179,13784,16,25
Match 25,Ender Dragon 3,1347,Defeat,103,147,6595,12,10
Match 26,Ender Dragon 3,1569,Defeat,157,149,8220,12,11
Match 27,Ender Dragon 3,1422,Victory,157,139,8387,13,12
Match 28,Ender Dragon 3,2912,Victory,238,202,19422,18,37
Match 29,Ender Dragon 3,1320,Defeat,126,164,8174,13,9
Match 30,Ender Dragon 3,1661,Victory,266,157,11108,15,17
Match 31,Ender Dragon 3,1341,Victory,157,161,11264,14,13
Match 32,Ender Dragon 3,1467,Victory,122,199,17732,16,13
Match 33,Ender Dragon 3,934,Victory,266,120,8085,12,3
Match 34,Ender Dragon 3,1624,Victory,92,183,10469,15,16
Match 35,Ender Dragon 3,2203,Defeat,126,211,10803,16,19
Match 36,Ender Dragon 3,1213,Defeat,238,117,7043,12,4
Match 37,Ender Dragon 3,1549,Defeat,157,170,8854,14,8
Match 38,Ender Dragon 3,2007,Victory,777,140,14494,16,17
Match 39,Ender Dragon 3,1481,Defeat,777,115,7078,12,10
Match 40,Ender Dragon 3,2146,Defeat,777,210,17644,18,16
Match 41,Ender Dragon 3,1417,Victory,238,138,10945,14,16
Match 42,Ender Dragon 3,943,Victory,266,64,4585,9,7
Match 43,Ender Dragon 3,2094,Defeat,157,175,11578,15,17
Match 44,Ender Dragon 3,2020,Defeat,157,200,15225,17,19
Match 45,Ender Dragon 3,1933,Victory,64,20,9754,14,15
Match 46,Ender Dragon 3,1102,Defeat,64,14,4776,8,9
Match 47,Ender Dragon 3,1013,Victory,126,94,7370,12,5
Match 48,Ender Dragon 3,917,Defeat,126,114,4881,11,6
