,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 1,cyrs7,1935,Defeat,117,27,7801,12,68
Match 2,cyrs7,1879,Defeat,147,53,10679,15,69
Match 3,cyrs7,1926,Defeat,40,23,8522,13,69
Match 4,cyrs7,1711,Victory,147,41,8776,14,54
Match 5,cyrs7,2141,Defeat,21,228,12886,16,34
Match 6,cyrs7,915,Victory,45,104,5736,8,17
Match 7,cyrs7,1923,Victory,40,20,11198,15,74
Match 8,cyrs7,2530,Victory,37,29,14920,18,82
Match 9,cyrs7,2157,Victory,143,80,14256,17,89
Match 10,cyrs7,1335,Victory,147,31,7249,11,43
Match 11,cyrs7,1727,Defeat,15,128,7182,11,16
Match 12,cyrs7,655,Defeat,15,51,3924,7,8
Match 13,cyrs7,1547,Victory,21,137,10006,12,22
Match 14,cyrs7,1418,Victory,147,24,8648,12,41
Match 15,cyrs7,2005,Victory,40,14,9214,16,72
Match 16,cyrs7,1366,Defeat,32,17,6491,10,15
Match 17,cyrs7,1520,Victory,117,103,8796,14,27
Match 18,cyrs7,1552,Defeat,82,102,7282,13,29
Match 19,cyrs7,1535,Victory,147,29,7359,12,56
Match 20,cyrs7,1277,Victory,40,10,7808,11,49
Match 21,cyrs7,1983,Victory,82,36,10832,15,34
Match 22,cyrs7,2046,Victory,147,171,10771,16,33
Match 23,cyrs7,2137,Victory,45,144,10848,16,21
Match 24,cyrs7,1334,Defeat,26,12,5557,10,31
Match 25,cyrs7,2387,Defeat,45,152,13981,16,32
Match 26,cyrs7,1281,Victory,267,7,6992,11,45
Match 27,cyrs7,2249,Defeat,147,76,12386,16,73
Match 28,cyrs7,1838,Defeat,147,139,8267,13,36
Match 29,cyrs7,1416,Defeat,117,22,7120,10,48
Match 30,cyrs7,1249,Defeat,89,30,4679,9,29
Match 31,cyrs7,1986,Victory,267,28,10654,15,82
Match 32,cyrs7,1830,Defeat,117,17,7339,13,60
Match 33,cyrs7,1858,Victory,3,102,9085,14,21
Match 34,cyrs7,1511,Victory,117,90,9549,13,28
Match 35,cyrs7,2320,Defeat,147,44,11792,15,101
Match 36,cyrs7,2172,Victory,147,61,11190,16,92
Match 37,cyrs7,2450,Victory,147,64,11946,16,103
Match 38,cyrs7,1293,Defeat,117,19,5026,10,38
Match 39,cyrs7,1716,Victory,147,35,9891,13,65
Match 40,cyrs7,1345,Victory,147,18,8043,11,35
